name_1,date_1,context,correct_date,correct_date_str,correct_answer
Brandon,2019-12-04,Brandon harvested a garden on the 4th of December. The first person that harvested a garden was,2019-12-04,4th of December,Brandon
Hope,2019-12-23,Hope washed the floors on the 23rd of December. The first person that washed the floors was,2019-12-23,23rd of December,Hope
Martin,2019-03-16,Martin sent a package on the 16th of March. The first person that sent a package was,2019-03-16,16th of March,Martin
Richard,2019-03-24,Richard arrived in Canada on the 24th of March. The first person that arrived in Canada was,2019-03-24,24th of March,Richard
Brandon,2019-02-19,Brandon painted a mural on the 19th of February. The first person that painted a mural was,2019-02-19,19th of February,Brandon
Jerry,2019-03-16,Jerry won the lottery on the 16th of March. The first person that won the lottery was,2019-03-16,16th of March,Jerry
Alice,2019-02-09,Alice took a walk in the park on the 9th of February. The first person that took a walk in the park was,2019-02-09,9th of February,Alice
Tyler,2019-03-14,Tyler visited their family on the 14th of March. The first person that visited their family was,2019-03-14,14th of March,Tyler
Andrew,2019-03-11,Andrew arrived in Italy on the 11th of March. The first person that arrived in Italy was,2019-03-11,11th of March,Andrew
Leon,2019-03-22,Leon painted a portrait on the 22nd of March. The first person that painted a portrait was,2019-03-22,22nd of March,Leon
Michael,2019-03-23,Michael washed the dog on the 23rd of March. The first person that washed the dog was,2019-03-23,23rd of March,Michael
Kevin,2019-03-18,Kevin took an exam on the 18th of March. The first person that took an exam was,2019-03-18,18th of March,Kevin
William,2019-03-26,William went to the gym on the 26th of March. The first person that went to the gym was,2019-03-26,26th of March,William
Brandon,2019-02-19,Brandon took an exam on the 19th of February. The first person that took an exam was,2019-02-19,19th of February,Brandon
Maria,2019-02-11,Maria donated clothes on the 11th of February. The first person that donated clothes was,2019-02-11,11th of February,Maria
Blake,2019-02-08,Blake watched a documentary on the 8th of February. The first person that watched a documentary was,2019-02-08,8th of February,Blake
Brandon,2019-02-04,Brandon cooked lasagna on the 4th of February. The first person that cooked lasagna was,2019-02-04,4th of February,Brandon
Andrew,2019-03-20,Andrew arrived in France on the 20th of March. The first person that arrived in France was,2019-03-20,20th of March,Andrew
Ian,2019-03-22,Ian sold their car on the 22nd of March. The first person that sold their car was,2019-03-22,22nd of March,Ian
April,2019-03-29,April watched a documentary on the 29th of March. The first person that watched a documentary was,2019-03-29,29th of March,April
Kyle,2019-02-13,Kyle went to the beach on the 13th of February. The first person that went to the beach was,2019-02-13,13th of February,Kyle
Luke,2019-03-25,Luke got a haircut on the 25th of March. The first person that got a haircut was,2019-03-25,25th of March,Luke
Brandon,2019-03-13,Brandon watered the plants on the 13th of March. The first person that watered the plants was,2019-03-13,13th of March,Brandon
John,2019-02-27,John had a barbecue on the 27th of February. The first person that had a barbecue was,2019-02-27,27th of February,John
Martin,2019-02-26,Martin wrote a letter on the 26th of February. The first person that wrote a letter was,2019-02-26,26th of February,Martin
Frank,2019-03-23,Frank received a promotion on the 23rd of March. The first person that received a promotion was,2019-03-23,23rd of March,Frank
Ryan,2019-02-25,Ryan got a birthday gift on the 25th of February. The first person that got a birthday gift was,2019-02-25,25th of February,Ryan
Grant,2019-03-17,Grant cleaned the attic on the 17th of March. The first person that cleaned the attic was,2019-03-17,17th of March,Grant
Steve,2019-02-27,Steve arrived in France on the 27th of February. The first person that arrived in France was,2019-02-27,27th of February,Steve
Blake,2019-03-31,Blake painted a mural on the 31st of March. The first person that painted a mural was,2019-03-31,31st of March,Blake
Grant,2019-02-19,Grant got a massage on the 19th of February. The first person that got a massage was,2019-02-19,19th of February,Grant
Frank,2019-03-18,Frank planted a tree on the 18th of March. The first person that planted a tree was,2019-03-18,18th of March,Frank
Max,2019-03-16,Max won a prize on the 16th of March. The first person that won a prize was,2019-03-16,16th of March,Max
William,2019-03-26,William left for vacation on the 26th of March. The first person that left for vacation was,2019-03-26,26th of March,William
Michael,2019-03-23,Michael left for vacation on the 23rd of March. The first person that left for vacation was,2019-03-23,23rd of March,Michael
April,2019-03-12,April sent a package on the 12th of March. The first person that sent a package was,2019-03-12,12th of March,April
Alex,2019-02-03,Alex played beer pong on the 3rd of February. The first person that played beer pong was,2019-02-03,3rd of February,Alex
Connor,2019-03-13,Connor cleaned the shed on the 13th of March. The first person that cleaned the shed was,2019-03-13,13th of March,Connor
Frank,2019-03-18,Frank attended a wedding on the 18th of March. The first person that attended a wedding was,2019-03-18,18th of March,Frank
Mark,2019-03-22,Mark threw a party on the 22nd of March. The first person that threw a party was,2019-03-22,22nd of March,Mark
April,2019-03-12,April visited their family on the 12th of March. The first person that visited their family was,2019-03-12,12th of March,April
Charlie,2019-02-22,Charlie filled out the application on the 22nd of February. The first person that filled out the application was,2019-02-22,22nd of February,Charlie
Charlie,2019-02-22,Charlie took a taxi on the 22nd of February. The first person that took a taxi was,2019-02-22,22nd of February,Charlie
Andrew,2019-02-05,Andrew watched a documentary on the 5th of February. The first person that watched a documentary was,2019-02-05,5th of February,Andrew
Martin,2019-02-20,Martin wrote a letter on the 20th of February. The first person that wrote a letter was,2019-02-20,20th of February,Martin
Tyler,2019-03-12,Tyler got a haircut on the 12th of March. The first person that got a haircut was,2019-03-12,12th of March,Tyler
Rachel,2019-03-03,Rachel had a picnic on the 3rd of March. The first person that had a picnic was,2019-03-03,3rd of March,Rachel
Marco,2019-03-14,Marco cleaned the basement on the 14th of March. The first person that cleaned the basement was,2019-03-14,14th of March,Marco
Marco,2019-03-14,Marco bought a new phone on the 14th of March. The first person that bought a new phone was,2019-03-14,14th of March,Marco
Ian,2019-03-22,Ian won a prize on the 22nd of March. The first person that won a prize was,2019-03-22,22nd of March,Ian
Tyler,2019-03-04,Tyler arrived in Canada on the 4th of March. The first person that arrived in Canada was,2019-03-04,4th of March,Tyler
Ian,2019-02-12,Ian purchased a new laptop on the 12th of February. The first person that purchased a new laptop was,2019-02-12,12th of February,Ian
Andrew,2019-03-20,Andrew went to a French restaurant on the 20th of March. The first person that went to a French restaurant was,2019-03-20,20th of March,Andrew
Steve,2019-02-27,Steve took an exam on the 27th of February. The first person that took an exam was,2019-02-27,27th of February,Steve
Blake,2019-03-31,Blake ironed the clothes on the 31st of March. The first person that ironed the clothes was,2019-03-31,31st of March,Blake
Dallas,2019-02-22,Dallas took a taxi on the 22nd of February. The first person that took a taxi was,2019-02-22,22nd of February,Dallas
Brandon,2019-02-04,Brandon got a massage on the 4th of February. The first person that got a massage was,2019-02-04,4th of February,Brandon
Grant,2019-02-03,Grant got a birthday gift on the 3rd of February. The first person that got a birthday gift was,2019-02-03,3rd of February,Grant
Rose,2019-02-08,Rose went camping on the 8th of February. The first person that went camping was,2019-02-08,8th of February,Rose
Josh,2019-02-15,Josh cleaned the basement on the 15th of February. The first person that cleaned the basement was,2019-02-15,15th of February,Josh
John,2019-02-27,John harvested a garden on the 27th of February. The first person that harvested a garden was,2019-02-27,27th of February,John
Joy,2019-03-23,Joy won a prize on the 23rd of March. The first person that won a prize was,2019-03-23,23rd of March,Joy
Richard,2019-03-08,Richard attended a wedding on the 8th of March. The first person that attended a wedding was,2019-03-08,8th of March,Richard
Andrew,2019-02-05,Andrew repaired the bike on the 5th of February. The first person that repaired the bike was,2019-02-05,5th of February,Andrew
Brandon,2019-03-09,Brandon attended a funeral on the 9th of March. The first person that attended a funeral was,2019-03-09,9th of March,Brandon
Max,2019-03-16,Max attended a funeral on the 16th of March. The first person that attended a funeral was,2019-03-16,16th of March,Max
Martin,2019-03-16,Martin visited their family on the 16th of March. The first person that visited their family was,2019-03-16,16th of March,Martin
Aaron,2019-02-08,Aaron went to the cinema on the 8th of February. The first person that went to the cinema was,2019-02-08,8th of February,Aaron
Dallas,2019-02-02,Dallas attended a graduation on the 2nd of February. The first person that attended a graduation was,2019-02-02,2nd of February,Dallas
Alice,2019-02-07,Alice took a boat on the 7th of February. The first person that took a boat was,2019-02-07,7th of February,Alice
Richard,2019-03-31,Richard alphabetized the bookshelf on the 31st of March. The first person that alphabetized the bookshelf was,2019-03-31,31st of March,Richard
Martin,2019-02-20,Martin went to the museum on the 20th of February. The first person that went to the museum was,2019-02-20,20th of February,Martin
Robert,2019-03-02,Robert played chess on the 2nd of March. The first person that played chess was,2019-03-02,2nd of March,Robert
Ian,2019-03-22,Ian ran a marathon on the 22nd of March. The first person that ran a marathon was,2019-03-22,22nd of March,Ian
Grant,2019-02-19,Grant sent a package on the 19th of February. The first person that sent a package was,2019-02-19,19th of February,Grant
Brandon,2019-02-19,Brandon moved to a new city on the 19th of February. The first person that moved to a new city was,2019-02-19,19th of February,Brandon
Grant,2019-02-01,Grant went to a Mexican restaurant on the 1st of February. The first person that went to a Mexican restaurant was,2019-02-01,1st of February,Grant
Jack,2019-02-14,Jack repotted the plants on the 14th of February. The first person that repotted the plants was,2019-02-14,14th of February,Jack
Blake,2019-02-08,Blake watched a documentary on the 8th of February. The first person that watched a documentary was,2019-02-08,8th of February,Blake
Scott,2019-03-24,Scott went to a Thai restaurant on the 24th of March. The first person that went to a Thai restaurant was,2019-03-24,24th of March,Scott
Dallas,2019-02-22,Dallas went to a Thai restaurant on the 22nd of February. The first person that went to a Thai restaurant was,2019-02-22,22nd of February,Dallas
Mark,2019-03-22,Mark repotted the plants on the 22nd of March. The first person that repotted the plants was,2019-03-22,22nd of March,Mark
Emily,2019-03-26,Emily visited their family on the 26th of March. The first person that visited their family was,2019-03-26,26th of March,Emily
Brandon,2019-02-04,Brandon took a ferry on the 4th of February. The first person that took a ferry was,2019-02-04,4th of February,Brandon
Grant,2019-02-03,Grant arrived in the US on the 3rd of February. The first person that arrived in the US was,2019-02-03,3rd of February,Grant
Rachel,2019-05-30,Rachel donated toys on the 30th of May. The first person that donated toys was,2019-05-30,30th of May,Rachel
Grant,2019-04-16,Grant baked a cake on the 16th of April. The first person that baked a cake was,2019-04-16,16th of April,Grant
April,2019-05-04,April arrived in Canada on the 4th of May. The first person that arrived in Canada was,2019-05-04,4th of May,April
Peter,2019-04-12,Peter renovated the bathroom on the 12th of April. The first person that renovated the bathroom was,2019-04-12,12th of April,Peter
April,2019-05-27,April watched a documentary on the 27th of May. The first person that watched a documentary was,2019-05-27,27th of May,April
Walker,2019-04-19,Walker left for vacation on the 19th of April. The first person that left for vacation was,2019-04-19,19th of April,Walker
Laura,2019-05-10,Laura took a plane on the 10th of May. The first person that took a plane was,2019-05-10,10th of May,Laura
Jack,2019-04-16,Jack won the lottery on the 16th of April. The first person that won the lottery was,2019-04-16,16th of April,Jack
Robert,2019-04-09,Robert took a plane on the 9th of April. The first person that took a plane was,2019-04-09,9th of April,Robert
Peter,2019-04-13,Peter went to a Chinese restaurant on the 13th of April. The first person that went to a Chinese restaurant was,2019-04-13,13th of April,Peter
Alice,2019-04-25,Alice mowed the lawn on the 25th of April. The first person that mowed the lawn was,2019-04-25,25th of April,Alice
Max,2019-05-20,Max went to the museum on the 20th of May. The first person that went to the museum was,2019-05-20,20th of May,Max
Dallas,2019-04-14,Dallas alphabetized the bookshelf on the 14th of April. The first person that alphabetized the bookshelf was,2019-04-14,14th of April,Dallas
Dean,2019-04-09,Dean participated in a triathlon on the 9th of April. The first person that participated in a triathlon was,2019-04-09,9th of April,Dean
Max,2019-04-30,Max threw a party on the 30th of April. The first person that threw a party was,2019-04-30,30th of April,Max
Leon,2019-05-19,Leon sent a package on the 19th of May. The first person that sent a package was,2019-05-19,19th of May,Leon
John,2019-04-28,John bought a new car on the 28th of April. The first person that bought a new car was,2019-04-28,28th of April,John
Leon,2019-05-30,Leon went to the beach on the 30th of May. The first person that went to the beach was,2019-05-30,30th of May,Leon
George,2019-05-16,George took a bus on the 16th of May. The first person that took a bus was,2019-05-16,16th of May,George
Steve,2019-04-08,Steve repotted the plants on the 8th of April. The first person that repotted the plants was,2019-04-08,8th of April,Steve
Andrew,2019-04-21,Andrew renovated the bathroom on the 21st of April. The first person that renovated the bathroom was,2019-04-21,21st of April,Andrew
Dean,2019-05-29,Dean painted a portrait on the 29th of May. The first person that painted a portrait was,2019-05-29,29th of May,Dean
Peter,2019-05-30,Peter visited their family on the 30th of May. The first person that visited their family was,2019-05-30,30th of May,Peter
Jack,2019-04-20,Jack took a plane on the 20th of April. The first person that took a plane was,2019-04-20,20th of April,Jack
Jack,2019-05-27,Jack took a plane on the 27th of May. The first person that took a plane was,2019-05-27,27th of May,Jack
Peter,2019-04-12,Peter went to the gym on the 12th of April. The first person that went to the gym was,2019-04-12,12th of April,Peter
Neil,2019-05-03,Neil took a ferry on the 3rd of May. The first person that took a ferry was,2019-05-03,3rd of May,Neil
Joy,2019-05-29,Joy went to the cinema on the 29th of May. The first person that went to the cinema was,2019-05-29,29th of May,Joy
Luke,2019-05-09,Luke passed an exam on the 9th of May. The first person that passed an exam was,2019-05-09,9th of May,Luke
Richard,2019-05-02,Richard sent a postcard on the 2nd of May. The first person that sent a postcard was,2019-05-02,2nd of May,Richard
Emily,2019-04-21,Emily arrived in Italy on the 21st of April. The first person that arrived in Italy was,2019-04-21,21st of April,Emily
Dallas,2019-04-20,Dallas participated in a triathlon on the 20th of April. The first person that participated in a triathlon was,2019-04-20,20th of April,Dallas
Charlie,2019-05-05,Charlie got a raise on the 5th of May. The first person that got a raise was,2019-05-05,5th of May,Charlie
Richard,2019-05-02,Richard attended a funeral on the 2nd of May. The first person that attended a funeral was,2019-05-02,2nd of May,Richard
Fred,2019-04-15,Fred painted a portrait on the 15th of April. The first person that painted a portrait was,2019-04-15,15th of April,Fred
April,2019-05-04,April got a manicure on the 4th of May. The first person that got a manicure was,2019-05-04,4th of May,April
Tyler,2019-04-25,Tyler went to a Mexican restaurant on the 25th of April. The first person that went to a Mexican restaurant was,2019-04-25,25th of April,Tyler
Michael,2019-05-16,Michael took a bus on the 16th of May. The first person that took a bus was,2019-05-16,16th of May,Michael
Laura,2019-05-20,Laura ran a marathon on the 20th of May. The first person that ran a marathon was,2019-05-20,20th of May,Laura
Neil,2019-05-03,Neil purchased a new laptop on the 3rd of May. The first person that purchased a new laptop was,2019-05-03,3rd of May,Neil
Marco,2019-04-30,Marco repotted the plants on the 30th of April. The first person that repotted the plants was,2019-04-30,30th of April,Marco
Alice,2019-04-25,Alice cleaned the garage on the 25th of April. The first person that cleaned the garage was,2019-04-25,25th of April,Alice
Laura,2019-05-12,Laura painted a portrait on the 12th of May. The first person that painted a portrait was,2019-05-12,12th of May,Laura
Steve,2019-05-30,Steve watched TV on the 30th of May. The first person that watched TV was,2019-05-30,30th of May,Steve
Ian,2019-05-28,Ian bought a new car on the 28th of May. The first person that bought a new car was,2019-05-28,28th of May,Ian
Rachel,2019-05-30,Rachel arrived in Canada on the 30th of May. The first person that arrived in Canada was,2019-05-30,30th of May,Rachel
Ryan,2019-05-28,Ryan repaired the bike on the 28th of May. The first person that repaired the bike was,2019-05-28,28th of May,Ryan
Laura,2019-05-10,Laura took a train on the 10th of May. The first person that took a train was,2019-05-10,10th of May,Laura
Jerry,2019-05-03,Jerry went to a Mexican restaurant on the 3rd of May. The first person that went to a Mexican restaurant was,2019-05-03,3rd of May,Jerry
Peter,2019-04-12,Peter bought a new phone on the 12th of April. The first person that bought a new phone was,2019-04-12,12th of April,Peter
Luke,2019-04-15,Luke compiled the spreadsheet on the 15th of April. The first person that compiled the spreadsheet was,2019-04-15,15th of April,Luke
Blake,2019-05-10,Blake received a letter on the 10th of May. The first person that received a letter was,2019-05-10,10th of May,Blake
Scott,2019-04-05,Scott went to a Mexican restaurant on the 5th of April. The first person that went to a Mexican restaurant was,2019-04-05,5th of April,Scott
Maria,2019-04-18,Maria watched a movie on the 18th of April. The first person that watched a movie was,2019-04-18,18th of April,Maria
Steve,2019-04-08,Steve went camping on the 8th of April. The first person that went camping was,2019-04-08,8th of April,Steve
Neil,2019-05-13,Neil donated blood on the 13th of May. The first person that donated blood was,2019-05-13,13th of May,Neil
Henry,2019-05-23,Henry visited a new city on the 23rd of May. The first person that visited a new city was,2019-05-23,23rd of May,Henry
Jack,2019-05-20,Jack moved to a new city on the 20th of May. The first person that moved to a new city was,2019-05-20,20th of May,Jack
Josh,2019-05-05,Josh built a desktop computer on the 5th of May. The first person that built a desktop computer was,2019-05-05,5th of May,Josh
Tyler,2019-04-28,Tyler returned from vacation on the 28th of April. The first person that returned from vacation was,2019-04-28,28th of April,Tyler
Jack,2019-05-20,Jack got surgery on the 20th of May. The first person that got surgery was,2019-05-20,20th of May,Jack
Connor,2019-04-18,Connor took a plane on the 18th of April. The first person that took a plane was,2019-04-18,18th of April,Connor
Richard,2019-05-26,Richard went to a Thai restaurant on the 26th of May. The first person that went to a Thai restaurant was,2019-05-26,26th of May,Richard
Kevin,2019-05-02,Kevin moved to a new city on the 2nd of May. The first person that moved to a new city was,2019-05-02,2nd of May,Kevin
Maria,2019-04-18,Maria took a plane on the 18th of April. The first person that took a plane was,2019-04-18,18th of April,Maria
Richard,2019-05-02,Richard went to a festival on the 2nd of May. The first person that went to a festival was,2019-05-02,2nd of May,Richard
Charlie,2019-05-08,Charlie donated blood on the 8th of May. The first person that donated blood was,2019-05-08,8th of May,Charlie
Mark,2019-05-21,Mark washed the floors on the 21st of May. The first person that washed the floors was,2019-05-21,21st of May,Mark
Mark,2019-05-21,Mark filled out the application on the 21st of May. The first person that filled out the application was,2019-05-21,21st of May,Mark
Frank,2019-05-02,Frank watched a movie on the 2nd of May. The first person that watched a movie was,2019-05-02,2nd of May,Frank
Dallas,2019-05-18,Dallas went to the cinema on the 18th of May. The first person that went to the cinema was,2019-05-18,18th of May,Dallas
Michael,2019-05-27,Michael alphabetized the bookshelf on the 27th of May. The first person that alphabetized the bookshelf was,2019-05-27,27th of May,Michael
Max,2019-05-23,Max went camping on the 23rd of May. The first person that went camping was,2019-05-23,23rd of May,Max
Maria,2019-05-26,Maria visited a new country on the 26th of May. The first person that visited a new country was,2019-05-26,26th of May,Maria
Laura,2019-05-10,Laura built a desktop computer on the 10th of May. The first person that built a desktop computer was,2019-05-10,10th of May,Laura
Fred,2019-04-15,Fred threw a party on the 15th of April. The first person that threw a party was,2019-04-15,15th of April,Fred
Kevin,2019-05-30,Kevin renovated the kitchen on the 30th of May. The first person that renovated the kitchen was,2019-05-30,30th of May,Kevin
Jack,2019-04-16,Jack filled out the application on the 16th of April. The first person that filled out the application was,2019-04-16,16th of April,Jack
Andrew,2019-04-21,Andrew washed the dog on the 21st of April. The first person that washed the dog was,2019-04-21,21st of April,Andrew
Richard,2019-05-02,Richard participated in a triathlon on the 2nd of May. The first person that participated in a triathlon was,2019-05-02,2nd of May,Richard
Jason,2019-05-09,Jason sent a postcard on the 9th of May. The first person that sent a postcard was,2019-05-09,9th of May,Jason
Mark,2019-05-21,Mark attended a funeral on the 21st of May. The first person that attended a funeral was,2019-05-21,21st of May,Mark
Luke,2019-04-15,Luke arrived in Canada on the 15th of April. The first person that arrived in Canada was,2019-04-15,15th of April,Luke
Max,2019-07-28,Max renovated the bathroom on the 28th of July. The first person that renovated the bathroom was,2019-07-28,28th of July,Max
Michael,2019-07-05,Michael donated clothes on the 5th of July. The first person that donated clothes was,2019-07-05,5th of July,Michael
Jerry,2019-07-26,Jerry threw a party on the 26th of July. The first person that threw a party was,2019-07-26,26th of July,Jerry
Ryan,2019-07-27,Ryan went to a Chinese restaurant on the 27th of July. The first person that went to a Chinese restaurant was,2019-07-27,27th of July,Ryan
Steve,2019-07-05,Steve got a birthday gift on the 5th of July. The first person that got a birthday gift was,2019-07-05,5th of July,Steve
Rachel,2019-07-18,Rachel went camping on the 18th of July. The first person that went camping was,2019-07-18,18th of July,Rachel
Leon,2019-06-18,Leon won a prize on the 18th of June. The first person that won a prize was,2019-06-18,18th of June,Leon
Jerry,2019-06-29,Jerry purchased a new laptop on the 29th of June. The first person that purchased a new laptop was,2019-06-29,29th of June,Jerry
Blake,2019-06-16,Blake took a boat on the 16th of June. The first person that took a boat was,2019-06-16,16th of June,Blake
Tyler,2019-07-26,Tyler sent a postcard on the 26th of July. The first person that sent a postcard was,2019-07-26,26th of July,Tyler
George,2019-06-19,George filled out the application on the 19th of June. The first person that filled out the application was,2019-06-19,19th of June,George
Laura,2019-07-27,Laura went to the gym on the 27th of July. The first person that went to the gym was,2019-07-27,27th of July,Laura
William,2019-06-08,William got a haircut on the 8th of June. The first person that got a haircut was,2019-06-08,8th of June,William
Blake,2019-06-11,Blake visited a new city on the 11th of June. The first person that visited a new city was,2019-06-11,11th of June,Blake
Connor,2019-07-20,Connor mowed the lawn on the 20th of July. The first person that mowed the lawn was,2019-07-20,20th of July,Connor
Ryan,2019-07-27,Ryan cleaned the shed on the 27th of July. The first person that cleaned the shed was,2019-07-27,27th of July,Ryan
Kevin,2019-06-21,Kevin received a letter on the 21st of June. The first person that received a letter was,2019-06-21,21st of June,Kevin
Frank,2019-07-27,Frank had a picnic on the 27th of July. The first person that had a picnic was,2019-07-27,27th of July,Frank
Kyle,2019-06-22,Kyle reorganized the closet on the 22nd of June. The first person that reorganized the closet was,2019-06-22,22nd of June,Kyle
William,2019-07-21,William went to a French restaurant on the 21st of July. The first person that went to a French restaurant was,2019-07-21,21st of July,William
Richard,2019-07-04,Richard bought a new car on the 4th of July. The first person that bought a new car was,2019-07-04,4th of July,Richard
Richard,2019-07-22,Richard went hiking on the 22nd of July. The first person that went hiking was,2019-07-22,22nd of July,Richard
Jack,2019-07-03,Jack won a prize on the 3rd of July. The first person that won a prize was,2019-07-03,3rd of July,Jack
Jerry,2019-07-25,Jerry cleaned the garage on the 25th of July. The first person that cleaned the garage was,2019-07-25,25th of July,Jerry
April,2019-07-09,April mowed the lawn on the 9th of July. The first person that mowed the lawn was,2019-07-09,9th of July,April
Hunter,2019-07-21,Hunter played beer pong on the 21st of July. The first person that played beer pong was,2019-07-21,21st of July,Hunter
Scott,2019-07-13,Scott left for vacation on the 13th of July. The first person that left for vacation was,2019-07-13,13th of July,Scott
Kyle,2019-06-22,Kyle had a barbecue on the 22nd of June. The first person that had a barbecue was,2019-06-22,22nd of June,Kyle
Dallas,2019-06-20,Dallas went camping on the 20th of June. The first person that went camping was,2019-06-20,20th of June,Dallas
Matt,2019-06-18,Matt repotted the plants on the 18th of June. The first person that repotted the plants was,2019-06-18,18th of June,Matt
John,2019-07-09,John renovated the kitchen on the 9th of July. The first person that renovated the kitchen was,2019-07-09,9th of July,John
Ryan,2019-06-05,Ryan arrived in Spain on the 5th of June. The first person that arrived in Spain was,2019-06-05,5th of June,Ryan
Rachel,2019-07-10,Rachel took a walk in the park on the 10th of July. The first person that took a walk in the park was,2019-07-10,10th of July,Rachel
Frank,2019-07-27,Frank received a letter on the 27th of July. The first person that received a letter was,2019-07-27,27th of July,Frank
Bob,2019-07-02,Bob went camping on the 2nd of July. The first person that went camping was,2019-07-02,2nd of July,Bob
Hunter,2019-06-30,Hunter went to a Mexican restaurant on the 30th of June. The first person that went to a Mexican restaurant was,2019-06-30,30th of June,Hunter
Luke,2019-06-08,Luke planted a tree on the 8th of June. The first person that planted a tree was,2019-06-08,8th of June,Luke
Jack,2019-07-03,Jack harvested a garden on the 3rd of July. The first person that harvested a garden was,2019-07-03,3rd of July,Jack
Jack,2019-07-25,Jack took a bus on the 25th of July. The first person that took a bus was,2019-07-25,25th of July,Jack
Dean,2019-06-02,Dean got a raise on the 2nd of June. The first person that got a raise was,2019-06-02,2nd of June,Dean
Max,2019-07-11,Max watched a movie on the 11th of July. The first person that watched a movie was,2019-07-11,11th of July,Max
Blake,2019-06-14,Blake threw a party on the 14th of June. The first person that threw a party was,2019-06-14,14th of June,Blake
Fred,2019-06-12,Fred washed the car on the 12th of June. The first person that washed the car was,2019-06-12,12th of June,Fred
Leon,2019-06-16,Leon planted a tree on the 16th of June. The first person that planted a tree was,2019-06-16,16th of June,Leon
Kyle,2019-06-19,Kyle donated clothes on the 19th of June. The first person that donated clothes was,2019-06-19,19th of June,Kyle
Marco,2019-06-29,Marco arrived in the US on the 29th of June. The first person that arrived in the US was,2019-06-29,29th of June,Marco
Jerry,2019-06-29,Jerry visited a new city on the 29th of June. The first person that visited a new city was,2019-06-29,29th of June,Jerry
Jack,2019-07-03,Jack reorganized the closet on the 3rd of July. The first person that reorganized the closet was,2019-07-03,3rd of July,Jack
William,2019-07-21,William got a raise on the 21st of July. The first person that got a raise was,2019-07-21,21st of July,William
Scott,2019-07-21,Scott cleaned the windows on the 21st of July. The first person that cleaned the windows was,2019-07-21,21st of July,Scott
George,2019-06-19,George took a boat on the 19th of June. The first person that took a boat was,2019-06-19,19th of June,George
Connor,2019-07-29,Connor passed an exam on the 29th of July. The first person that passed an exam was,2019-07-29,29th of July,Connor
Max,2019-07-28,Max arrived in the UK on the 28th of July. The first person that arrived in the UK was,2019-07-28,28th of July,Max
John,2019-07-03,John cleaned the garage on the 3rd of July. The first person that cleaned the garage was,2019-07-03,3rd of July,John
Alice,2019-07-31,Alice cleaned the garage on the 31st of July. The first person that cleaned the garage was,2019-07-31,31st of July,Alice
Frank,2019-06-21,Frank went fishing on the 21st of June. The first person that went fishing was,2019-06-21,21st of June,Frank
Hunter,2019-06-26,Hunter had a picnic on the 26th of June. The first person that had a picnic was,2019-06-26,26th of June,Hunter
Joy,2019-07-07,Joy took a bus on the 7th of July. The first person that took a bus was,2019-07-07,7th of July,Joy
Hunter,2019-06-21,Hunter visited a new city on the 21st of June. The first person that visited a new city was,2019-06-21,21st of June,Hunter
Ryan,2019-06-05,Ryan took a boat on the 5th of June. The first person that took a boat was,2019-06-05,5th of June,Ryan
Henry,2019-07-29,Henry bought a new car on the 29th of July. The first person that bought a new car was,2019-07-29,29th of July,Henry
Mark,2019-07-19,Mark took a taxi on the 19th of July. The first person that took a taxi was,2019-07-19,19th of July,Mark
Laura,2019-06-06,Laura had a picnic on the 6th of June. The first person that had a picnic was,2019-06-06,6th of June,Laura
Fred,2019-06-07,Fred sent a postcard on the 7th of June. The first person that sent a postcard was,2019-06-07,7th of June,Fred
Joy,2019-06-16,Joy alphabetized the bookshelf on the 16th of June. The first person that alphabetized the bookshelf was,2019-06-16,16th of June,Joy
Robert,2019-06-01,Robert won the lottery on the 1st of June. The first person that won the lottery was,2019-06-01,1st of June,Robert
April,2019-06-13,April ran a marathon on the 13th of June. The first person that ran a marathon was,2019-06-13,13th of June,April
Scott,2019-07-06,Scott got a raise on the 6th of July. The first person that got a raise was,2019-07-06,6th of July,Scott
Fred,2019-06-12,Fred won a prize on the 12th of June. The first person that won a prize was,2019-06-12,12th of June,Fred
Matt,2019-06-18,Matt watered the plants on the 18th of June. The first person that watered the plants was,2019-06-18,18th of June,Matt
Mark,2019-07-14,Mark played chess on the 14th of July. The first person that played chess was,2019-07-14,14th of July,Mark
Richard,2019-06-27,Richard cleaned the basement on the 27th of June. The first person that cleaned the basement was,2019-06-27,27th of June,Richard
Henry,2019-07-03,Henry renovated the kitchen on the 3rd of July. The first person that renovated the kitchen was,2019-07-03,3rd of July,Henry
Jerry,2019-07-25,Jerry received a promotion on the 25th of July. The first person that received a promotion was,2019-07-25,25th of July,Jerry
Kyle,2019-06-24,Kyle had a barbecue on the 24th of June. The first person that had a barbecue was,2019-06-24,24th of June,Kyle
Henry,2019-06-12,Henry bought a new car on the 12th of June. The first person that bought a new car was,2019-06-12,12th of June,Henry
Andrew,2019-07-24,Andrew went hiking on the 24th of July. The first person that went hiking was,2019-07-24,24th of July,Andrew
Kevin,2019-06-09,Kevin painted a portrait on the 9th of June. The first person that painted a portrait was,2019-06-09,9th of June,Kevin
William,2019-06-08,William went to a Mexican restaurant on the 8th of June. The first person that went to a Mexican restaurant was,2019-06-08,8th of June,William
Bob,2019-06-19,Bob washed the car on the 19th of June. The first person that washed the car was,2019-06-19,19th of June,Bob
Max,2019-07-13,Max built a desktop computer on the 13th of July. The first person that built a desktop computer was,2019-07-13,13th of July,Max
