name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
April,2019-04-16,1 year,Neil,2019-04-22,4 years,Frank,2019-05-09,12 months,"April starts a data science course on the 16th of April, continuing for 1 year. Neil starts a data science course on the 22nd of April, continuing for 4 years. Frank starts a data science course on the 9th of May, continuing for 12 months. The person whose data science course ends first is",years,2019-04-16,the 16th of April,2020-04-15,365 days,1 year,365,April,April
Jason,2019-05-10,25 days,Neil,2019-04-19,25 days,Kevin,2019-05-08,2 weeks,Jason is going on vacation starting on the 10th of May and will be away for 25 days. Neil is going on vacation starting on the 19th of April and will be away for 25 days. Kevin is going on vacation starting on the 8th of May and will be away for 2 weeks. The person whose vacation ends first is,weeks,2019-04-19,the 19th of April,2019-05-14,25 days,25 days,25,April,Neil
George,2019-04-10,6 days,Alice,2019-04-30,5 days,Aaron,2019-04-19,1 day,George's music tour starts on the 10th of April and lasts for 6 days. Alice's music tour starts on the 30th of April and lasts for 5 days. Aaron's music tour starts on the 19th of April and lasts for 1 day. The person whose music tour ends first is,days,2019-04-10,the 10th of April,2019-04-16,6 days,6 days,6,April,George
Brandon,2019-05-07,21 days,Michael,2019-04-12,25 days,Connor,2019-05-31,1 week,Brandon's music tour starts on the 7th of May and lasts for 21 days. Michael's music tour starts on the 12th of April and lasts for 25 days. Connor's music tour starts on the 31st of May and lasts for 1 week. The person whose music tour ends first is,weeks,2019-04-12,the 12th of April,2019-05-07,25 days,25 days,25,April,Michael
Ryan,2019-04-02,5 days,Jack,2019-05-03,6 days,Max,2019-04-04,1 day,"Ryan is beginning a short course on the 2nd of April, running over 5 days. Jack is beginning a short course on the 3rd of May, running over 6 days. Max is beginning a short course on the 4th of April, running over 1 day. The person whose course ends first is",days,2019-04-04,the 4th of April,2019-04-05,1 days,1 day,1,April,Max
Alice,2019-04-22,3 weeks,Marco,2019-04-16,21 days,Maria,2019-05-19,1 week,Alice is starting a mentorship program on the 22nd of April and will be engaged for 3 weeks. Marco is starting a mentorship program on the 16th of April and will be engaged for 21 days. Maria is starting a mentorship program on the 19th of May and will be engaged for 1 week. The person whose mentorship program ends first is,weeks,2019-04-16,the 16th of April,2019-05-07,21 days,21 days,21,April,Marco
Andrew,2019-04-09,6 months,Max,2019-05-11,3 months,Ryan,2019-05-05,1 month,Andrew is starting a community service project on the 9th of April and will be involved for 6 months. Max is starting a community service project on the 11th of May and will be involved for 3 months. Ryan is starting a community service project on the 5th of May and will be involved for 1 month. The person whose community service ends first is,months,2019-05-05,the 5th of May,2019-06-04,30 days,1 month,30,May,Ryan
Dallas,2019-04-25,3 weeks,John,2019-04-18,21 days,Brandon,2019-05-07,21 days,Dallas's exchange starts on the 25th of April and goes on for 3 weeks. John's exchange starts on the 18th of April and goes on for 21 days. Brandon's exchange starts on the 7th of May and goes on for 21 days. The person whose exchange ends first is,weeks,2019-04-18,the 18th of April,2019-05-09,21 days,21 days,21,April,John
Alice,2019-04-30,5 days,Peter,2019-05-31,9 days,Henry,2019-05-25,3 days,"Alice is starting a coding sprint on the 30th of April, running for 5 days. Peter is starting a coding sprint on the 31st of May, running for 9 days. Henry is starting a coding sprint on the 25th of May, running for 3 days. The person whose coding sprint ends first is",days,2019-04-30,the 30th of April,2019-05-05,5 days,5 days,5,April,Alice
Maria,2019-05-29,10 days,Marco,2019-04-16,21 days,Aaron,2019-05-23,30 days,Maria runs a festival booth on the 29th of May staying open for 10 days. Marco runs a festival booth on the 16th of April staying open for 21 days. Aaron runs a festival booth on the 23rd of May staying open for 30 days. The person whose festival booth ends first is,weeks,2019-04-16,the 16th of April,2019-05-07,21 days,21 days,21,April,Marco
Bob,2019-05-27,4 years,April,2019-05-26,36 months,Fred,2019-05-28,24 months,Bob is beginning a research fellowship on the 27th of May and will last for 4 years. April is beginning a research fellowship on the 26th of May and will last for 36 months. Fred is beginning a research fellowship on the 28th of May and will last for 24 months. The person whose fellowship ends first is,years,2019-05-28,the 28th of May,2021-05-17,720 days,24 months,720,May,Fred
Blake,2019-05-18,3 weeks,Henry,2019-04-10,21 days,Marco,2019-04-19,21 days,"Blake is beginning a short course on the 18th of May, running over 3 weeks. Henry is beginning a short course on the 10th of April, running over 21 days. Marco is beginning a short course on the 19th of April, running over 21 days. The person whose course ends first is",weeks,2019-04-10,the 10th of April,2019-05-01,21 days,21 days,21,April,Henry
Andrew,2019-04-26,2 years,Alice,2019-05-06,1 year,Marco,2019-05-23,1 year,"Andrew starts a sabbatical on the 26th of April, which will continue for the next 2 years. Alice starts a sabbatical on the 6th of May, which will continue for the next 1 year. Marco starts a sabbatical on the 23rd of May, which will continue for the next 1 year. The person whose sabbatical ends first is",years,2019-05-06,the 6th of May,2020-05-05,365 days,1 year,365,May,Alice
Max,2019-05-25,10 weeks,Richard,2019-05-12,8 weeks,Andrew,2019-04-09,6 months,Max's probation period starts on the 25th of May and will complete it in 10 weeks. Richard's probation period starts on the 12th of May and will complete it in 8 weeks. Andrew's probation period starts on the 9th of April and will complete it in 6 months. The person whose probation period ends first is,months,2019-05-12,the 12th of May,2019-07-07,56 days,8 weeks,56,May,Richard
Jason,2019-05-09,1 week,Marco,2019-04-19,21 days,Blake,2019-05-18,21 days,Jason's exchange starts on the 9th of May and goes on for 1 week. Marco's exchange starts on the 19th of April and goes on for 21 days. Blake's exchange starts on the 18th of May and goes on for 21 days. The person whose exchange ends first is,weeks,2019-04-19,the 19th of April,2019-05-10,21 days,21 days,21,April,Marco
Luke,2019-05-07,1 day,Jerry,2019-05-10,8 days,Robert,2019-04-26,6 days,"Luke is starting a hiking expedition on the 7th of May, which will last for 1 day. Jerry is starting a hiking expedition on the 10th of May, which will last for 8 days. Robert is starting a hiking expedition on the 26th of April, which will last for 6 days. The person whose expedition ends first is",days,2019-04-26,the 26th of April,2019-05-02,6 days,6 days,6,April,Robert
Josh,2019-05-12,10 weeks,Dallas,2019-04-23,4 months,Luke,2019-05-30,2 months,Josh is moving abroad on the 12th of May and intends to stay for 10 weeks. Dallas is moving abroad on the 23rd of April and intends to stay for 4 months. Luke is moving abroad on the 30th of May and intends to stay for 2 months. The person whose relocation ends first is,months,2019-05-12,the 12th of May,2019-07-21,70 days,10 weeks,70,May,Josh
Brandon,2019-05-07,21 days,Alice,2019-04-22,3 weeks,George,2019-05-30,14 days,"Brandon is attending a first aid course on the 7th of May, lasting 21 days. Alice is attending a first aid course on the 22nd of April, lasting 3 weeks. George is attending a first aid course on the 30th of May, lasting 14 days. The person whose first aid course ends first is",weeks,2019-04-22,the 22nd of April,2019-05-13,21 days,3 weeks,21,April,Alice
April,2019-05-08,4 weeks,George,2019-05-30,14 days,Jerry,2019-04-04,14 days,April's intensive course starts on the 8th of May and lasts for 4 weeks. George's intensive course starts on the 30th of May and lasts for 14 days. Jerry's intensive course starts on the 4th of April and lasts for 14 days. The person whose intensive course ends first is,weeks,2019-04-04,the 4th of April,2019-04-18,14 days,14 days,14,April,Jerry
Alice,2019-05-06,1 year,Neil,2019-05-17,1 year,Kevin,2019-05-23,18 months,"Alice begins doctoral research on the 6th of May, continuing over a period of 1 year. Neil begins doctoral research on the 17th of May, continuing over a period of 1 year. Kevin begins doctoral research on the 23rd of May, continuing over a period of 18 months. The person whose doctoral research ends first is",years,2019-05-06,the 6th of May,2020-05-05,365 days,1 year,365,May,Alice
Fred,2019-05-02,21 days,William,2019-05-06,25 days,Blake,2019-05-18,21 days,Fred is leaving for a business trip on the 2nd of May and will be gone for 21 days. William is leaving for a business trip on the 6th of May and will be gone for 25 days. Blake is leaving for a business trip on the 18th of May and will be gone for 21 days. The person whose business trip ends first is,weeks,2019-05-02,the 2nd of May,2019-05-23,21 days,21 days,21,May,Fred
Luke,2019-05-07,1 day,Walker,2019-04-07,6 days,Max,2019-04-09,5 days,Luke leaves for a retreat on the 7th of May and will be away for 1 day. Walker leaves for a retreat on the 7th of April and will be away for 6 days. Max leaves for a retreat on the 9th of April and will be away for 5 days. The person whose retreat ends first is,days,2019-04-07,the 7th of April,2019-04-13,6 days,6 days,6,April,Walker
Hope,2019-04-11,21 days,Blake,2019-05-18,3 weeks,Rose,2019-05-08,2 weeks,"Hope is starting a hiking expedition on the 11th of April, which will last for 21 days. Blake is starting a hiking expedition on the 18th of May, which will last for 3 weeks. Rose is starting a hiking expedition on the 8th of May, which will last for 2 weeks. The person whose expedition ends first is",weeks,2019-04-11,the 11th of April,2019-05-02,21 days,21 days,21,April,Hope
Jason,2019-05-06,2 years,Peter,2019-04-05,2 years,Ryan,2019-05-10,36 months,"Jason begins their employment contract on the 6th of May, with a term of 2 years. Peter begins their employment contract on the 5th of April, with a term of 2 years. Ryan begins their employment contract on the 10th of May, with a term of 36 months. The person whose employment contract ends first is",years,2019-04-05,the 5th of April,2021-04-04,730 days,2 years,730,April,Peter
Ryan,2019-04-10,2 years,April,2019-04-16,1 year,Rose,2019-04-08,3 years,"Ryan begins a renovation project on the 10th of April, scheduled to take 2 years to complete. April begins a renovation project on the 16th of April, scheduled to take 1 year to complete. Rose begins a renovation project on the 8th of April, scheduled to take 3 years to complete. The person whose renovation project ends first is",years,2019-04-16,the 16th of April,2020-04-15,365 days,1 year,365,April,April
Martin,2019-05-19,10 days,George,2019-04-10,6 days,Blake,2019-05-14,4 days,"Martin begins a seminar on the 19th of May, lasting for 10 days. George begins a seminar on the 10th of April, lasting for 6 days. Blake begins a seminar on the 14th of May, lasting for 4 days. The person whose seminar ends first is",days,2019-04-10,the 10th of April,2019-04-16,6 days,6 days,6,April,George
Jerry,2019-05-10,8 days,Bob,2019-05-15,7 days,April,2019-05-30,7 days,Jerry's intensive course starts on the 10th of May and lasts for 8 days. Bob's intensive course starts on the 15th of May and lasts for 7 days. April's intensive course starts on the 30th of May and lasts for 7 days. The person whose intensive course ends first is,days,2019-05-10,the 10th of May,2019-05-18,8 days,8 days,8,May,Jerry
Dean,2019-04-07,36 months,Alex,2019-05-02,12 months,Andrew,2019-05-03,2 years,Dean's probation period starts on the 7th of April and will complete it in 36 months. Alex's probation period starts on the 2nd of May and will complete it in 12 months. Andrew's probation period starts on the 3rd of May and will complete it in 2 years. The person whose probation period ends first is,years,2019-05-02,the 2nd of May,2020-04-26,360 days,12 months,360,May,Alex
Dallas,2019-05-11,24 months,Rose,2019-04-08,3 years,Matt,2019-04-22,12 months,"Dallas begins a renovation project on the 11th of May, scheduled to take 24 months to complete. Rose begins a renovation project on the 8th of April, scheduled to take 3 years to complete. Matt begins a renovation project on the 22nd of April, scheduled to take 12 months to complete. The person whose renovation project ends first is",years,2019-04-22,the 22nd of April,2020-04-16,360 days,12 months,360,April,Matt
Frank,2019-05-09,12 months,Bob,2019-05-27,4 years,Connor,2019-04-15,3 years,Frank is beginning a research fellowship on the 9th of May and will last for 12 months. Bob is beginning a research fellowship on the 27th of May and will last for 4 years. Connor is beginning a research fellowship on the 15th of April and will last for 3 years. The person whose fellowship ends first is,years,2019-05-09,the 9th of May,2020-05-03,360 days,12 months,360,May,Frank
John,2019-04-18,21 days,Blake,2019-05-18,3 weeks,Neil,2019-04-26,3 weeks,John's subscription starts on the 18th of April and lasts for 21 days. Blake's subscription starts on the 18th of May and lasts for 3 weeks. Neil's subscription starts on the 26th of April and lasts for 3 weeks. The person whose subscription ends first is,weeks,2019-04-18,the 18th of April,2019-05-09,21 days,21 days,21,April,John
Scott,2019-05-15,4 days,Fred,2019-04-28,7 days,Brandon,2019-04-03,8 days,"Scott is beginning a short course on the 15th of May, running over 4 days. Fred is beginning a short course on the 28th of April, running over 7 days. Brandon is beginning a short course on the 3rd of April, running over 8 days. The person whose course ends first is",days,2019-04-03,the 3rd of April,2019-04-11,8 days,8 days,8,April,Brandon
Steve,2019-04-04,21 days,Scott,2019-05-27,1 week,Fred,2019-05-31,30 days,Steve's music tour starts on the 4th of April and lasts for 21 days. Scott's music tour starts on the 27th of May and lasts for 1 week. Fred's music tour starts on the 31st of May and lasts for 30 days. The person whose music tour ends first is,weeks,2019-04-04,the 4th of April,2019-04-25,21 days,21 days,21,April,Steve
Kevin,2019-05-23,18 months,John,2019-04-26,24 months,Dallas,2019-05-11,24 months,Kevin's subscription starts on the 23rd of May and lasts for 18 months. John's subscription starts on the 26th of April and lasts for 24 months. Dallas's subscription starts on the 11th of May and lasts for 24 months. The person whose subscription ends first is,years,2019-05-23,the 23rd of May,2020-11-13,540 days,18 months,540,May,Kevin
Ryan,2019-04-28,6 days,Max,2019-04-04,1 day,Peter,2019-05-31,9 days,Ryan is going on a road trip starting on the 28th of April and will be traveling for 6 days. Max is going on a road trip starting on the 4th of April and will be traveling for 1 day. Peter is going on a road trip starting on the 31st of May and will be traveling for 9 days. The person whose road trip ends first is,days,2019-04-04,the 4th of April,2019-04-05,1 days,1 day,1,April,Max
Jerry,2019-04-09,7 days,Fred,2019-05-02,21 days,Martin,2019-05-19,25 days,"Jerry is beginning a sailing trip on the 9th of April, lasting roughly 7 days. Fred is beginning a sailing trip on the 2nd of May, lasting roughly 21 days. Martin is beginning a sailing trip on the 19th of May, lasting roughly 25 days. The person whose sailing trip ends first is",weeks,2019-04-09,the 9th of April,2019-04-16,7 days,7 days,7,April,Jerry
Luke,2019-05-30,2 months,Henry,2019-04-30,6 months,Hope,2019-04-23,4 weeks,"Luke starts a data science course on the 30th of May, continuing for 2 months. Henry starts a data science course on the 30th of April, continuing for 6 months. Hope starts a data science course on the 23rd of April, continuing for 4 weeks. The person whose data science course ends first is",months,2019-04-23,the 23rd of April,2019-05-21,28 days,4 weeks,28,April,Hope
Jack,2019-05-18,8 days,Max,2019-04-04,1 day,Andrew,2019-04-07,3 days,Jack is enrolled in a cooking class beginning on the 18th of May and lasting 8 days. Max is enrolled in a cooking class beginning on the 4th of April and lasting 1 day. Andrew is enrolled in a cooking class beginning on the 7th of April and lasting 3 days. The person whose cooking class ends first is,days,2019-04-04,the 4th of April,2019-04-05,1 days,1 day,1,April,Max
Luke,2019-05-10,10 weeks,Kevin,2019-05-03,4 weeks,Robert,2019-05-22,8 weeks,"Luke begins their employment contract on the 10th of May, with a term of 10 weeks. Kevin begins their employment contract on the 3rd of May, with a term of 4 weeks. Robert begins their employment contract on the 22nd of May, with a term of 8 weeks. The person whose employment contract ends first is",months,2019-05-03,the 3rd of May,2019-05-31,28 days,4 weeks,28,May,Kevin
Alex,2019-05-02,12 months,Neil,2019-04-22,4 years,Laura,2019-05-03,1 year,Alex's subscription starts on the 2nd of May and lasts for 12 months. Neil's subscription starts on the 22nd of April and lasts for 4 years. Laura's subscription starts on the 3rd of May and lasts for 1 year. The person whose subscription ends first is,years,2019-05-02,the 2nd of May,2020-04-26,360 days,12 months,360,May,Alex
William,2019-04-23,7 days,Matt,2019-05-02,9 days,Ryan,2019-04-28,6 days,William's music tour starts on the 23rd of April and lasts for 7 days. Matt's music tour starts on the 2nd of May and lasts for 9 days. Ryan's music tour starts on the 28th of April and lasts for 6 days. The person whose music tour ends first is,days,2019-04-23,the 23rd of April,2019-04-30,7 days,7 days,7,April,William
Peter,2019-05-31,9 days,Neil,2019-04-29,9 days,Bob,2019-05-15,3 days,Peter runs a festival booth on the 31st of May staying open for 9 days. Neil runs a festival booth on the 29th of April staying open for 9 days. Bob runs a festival booth on the 15th of May staying open for 3 days. The person whose festival booth ends first is,days,2019-04-29,the 29th of April,2019-05-08,9 days,9 days,9,April,Neil
Jack,2019-04-17,2 months,Steve,2019-04-02,2 months,Alice,2019-05-11,4 months,Jack's subscription starts on the 17th of April and lasts for 2 months. Steve's subscription starts on the 2nd of April and lasts for 2 months. Alice's subscription starts on the 11th of May and lasts for 4 months. The person whose subscription ends first is,months,2019-04-02,the 2nd of April,2019-06-01,60 days,2 months,60,April,Steve
Ryan,2019-04-02,5 days,Jerry,2019-05-09,8 days,Aaron,2019-04-19,1 day,Ryan leaves for a retreat on the 2nd of April and will be away for 5 days. Jerry leaves for a retreat on the 9th of May and will be away for 8 days. Aaron leaves for a retreat on the 19th of April and will be away for 1 day. The person whose retreat ends first is,days,2019-04-02,the 2nd of April,2019-04-07,5 days,5 days,5,April,Ryan
Emily,2019-04-21,10 days,Peter,2019-05-31,9 days,Dean,2019-04-18,10 days,Emily is going on a cruise starting on the 21st of April and will be at sea for 10 days. Peter is going on a cruise starting on the 31st of May and will be at sea for 9 days. Dean is going on a cruise starting on the 18th of April and will be at sea for 10 days. The person whose cruise ends first is,days,2019-04-18,the 18th of April,2019-04-28,10 days,10 days,10,April,Dean
Neil,2019-04-22,4 years,Alex,2019-05-01,2 years,Scott,2019-04-17,12 months,Neil is moving abroad on the 22nd of April and intends to stay for 4 years. Alex is moving abroad on the 1st of May and intends to stay for 2 years. Scott is moving abroad on the 17th of April and intends to stay for 12 months. The person whose relocation ends first is,years,2019-04-17,the 17th of April,2020-04-11,360 days,12 months,360,April,Scott
Luke,2019-05-07,1 day,Kyle,2019-05-19,8 days,Aaron,2019-05-13,10 days,Luke leaves for a retreat on the 7th of May and will be away for 1 day. Kyle leaves for a retreat on the 19th of May and will be away for 8 days. Aaron leaves for a retreat on the 13th of May and will be away for 10 days. The person whose retreat ends first is,days,2019-05-07,the 7th of May,2019-05-08,1 days,1 day,1,May,Luke
Dallas,2019-04-25,3 weeks,Alice,2019-04-22,3 weeks,John,2019-04-18,21 days,Dallas is starting a community service project on the 25th of April and will be involved for 3 weeks. Alice is starting a community service project on the 22nd of April and will be involved for 3 weeks. John is starting a community service project on the 18th of April and will be involved for 21 days. The person whose community service ends first is,weeks,2019-04-18,the 18th of April,2019-05-09,21 days,21 days,21,April,John
William,2019-05-06,25 days,Henry,2019-04-10,21 days,Hope,2019-04-11,21 days,William is starting a community service project on the 6th of May and will be involved for 25 days. Henry is starting a community service project on the 10th of April and will be involved for 21 days. Hope is starting a community service project on the 11th of April and will be involved for 21 days. The person whose community service ends first is,weeks,2019-04-10,the 10th of April,2019-05-01,21 days,21 days,21,April,Henry
Scott,2019-05-23,18 months,Peter,2019-04-05,2 years,April,2019-04-16,1 year,"Scott is enrolling in a professional training program on the 23rd of May, which runs for about 18 months. Peter is enrolling in a professional training program on the 5th of April, which runs for about 2 years. April is enrolling in a professional training program on the 16th of April, which runs for about 1 year. The person whose training program ends first is",years,2019-04-16,the 16th of April,2020-04-15,365 days,1 year,365,April,April
Martin,2019-05-19,25 days,John,2019-04-18,21 days,Marco,2019-04-16,21 days,"Martin starts a data science course on the 19th of May, continuing for 25 days. John starts a data science course on the 18th of April, continuing for 21 days. Marco starts a data science course on the 16th of April, continuing for 21 days. The person whose data science course ends first is",weeks,2019-04-16,the 16th of April,2019-05-07,21 days,21 days,21,April,Marco
Jason,2019-04-09,14 days,Michael,2019-04-12,25 days,Ryan,2019-05-15,3 weeks,Jason is going on a cruise starting on the 9th of April and will be at sea for 14 days. Michael is going on a cruise starting on the 12th of April and will be at sea for 25 days. Ryan is going on a cruise starting on the 15th of May and will be at sea for 3 weeks. The person whose cruise ends first is,weeks,2019-04-09,the 9th of April,2019-04-23,14 days,14 days,14,April,Jason
George,2019-04-09,10 weeks,Kevin,2019-05-03,4 weeks,Rose,2019-04-10,4 weeks,"George is beginning a sailing trip on the 9th of April, lasting roughly 10 weeks. Kevin is beginning a sailing trip on the 3rd of May, lasting roughly 4 weeks. Rose is beginning a sailing trip on the 10th of April, lasting roughly 4 weeks. The person whose sailing trip ends first is",months,2019-04-10,the 10th of April,2019-05-08,28 days,4 weeks,28,April,Rose
Connor,2019-04-15,3 years,Grant,2019-05-22,12 months,Andrew,2019-04-26,2 years,"Connor is enrolling in a professional training program on the 15th of April, which runs for about 3 years. Grant is enrolling in a professional training program on the 22nd of May, which runs for about 12 months. Andrew is enrolling in a professional training program on the 26th of April, which runs for about 2 years. The person whose training program ends first is",years,2019-05-22,the 22nd of May,2020-05-16,360 days,12 months,360,May,Grant
Scott,2019-04-17,12 months,Brandon,2019-05-11,1 year,Max,2019-04-10,2 years,"Scott is enrolling in a professional training program on the 17th of April, which runs for about 12 months. Brandon is enrolling in a professional training program on the 11th of May, which runs for about 1 year. Max is enrolling in a professional training program on the 10th of April, which runs for about 2 years. The person whose training program ends first is",years,2019-04-17,the 17th of April,2020-04-11,360 days,12 months,360,April,Scott
April,2019-05-18,10 days,Scott,2019-05-15,4 days,Peter,2019-05-31,9 days,April's project kickoff is on the 18th of May and lasts for 10 days. Scott's project kickoff is on the 15th of May and lasts for 4 days. Peter's project kickoff is on the 31st of May and lasts for 9 days. The person whose project ends first is,days,2019-05-15,the 15th of May,2019-05-19,4 days,4 days,4,May,Scott
Max,2019-04-01,6 weeks,Blake,2019-04-05,4 months,Rose,2019-04-10,4 weeks,Max is taking a parenting leave starting on the 1st of April and it will last for 6 weeks. Blake is taking a parenting leave starting on the 5th of April and it will last for 4 months. Rose is taking a parenting leave starting on the 10th of April and it will last for 4 weeks. The person whose parenting leave ends first is,months,2019-04-10,the 10th of April,2019-05-08,28 days,4 weeks,28,April,Rose
Michael,2019-05-20,30 days,John,2019-04-18,21 days,Steve,2019-04-04,21 days,Michael is going on a road trip starting on the 20th of May and will be traveling for 30 days. John is going on a road trip starting on the 18th of April and will be traveling for 21 days. Steve is going on a road trip starting on the 4th of April and will be traveling for 21 days. The person whose road trip ends first is,weeks,2019-04-04,the 4th of April,2019-04-25,21 days,21 days,21,April,Steve
Luke,2019-05-08,10 days,Fred,2019-05-10,9 days,Jack,2019-05-18,8 days,Luke's project kickoff is on the 8th of May and lasts for 10 days. Fred's project kickoff is on the 10th of May and lasts for 9 days. Jack's project kickoff is on the 18th of May and lasts for 8 days. The person whose project ends first is,days,2019-05-08,the 8th of May,2019-05-18,10 days,10 days,10,May,Luke
Rose,2019-05-08,2 weeks,Maria,2019-05-29,10 days,Fred,2019-05-31,30 days,Rose is going camping on the 8th of May and will be out for 2 weeks. Maria is going camping on the 29th of May and will be out for 10 days. Fred is going camping on the 31st of May and will be out for 30 days. The person whose camping ends first is,weeks,2019-05-08,the 8th of May,2019-05-22,14 days,2 weeks,14,May,Rose
Aaron,2019-05-30,2 months,Blake,2019-04-05,4 months,Maria,2019-05-14,3 months,"Aaron is enrolling in a professional training program on the 30th of May, which runs for about 2 months. Blake is enrolling in a professional training program on the 5th of April, which runs for about 4 months. Maria is enrolling in a professional training program on the 14th of May, which runs for about 3 months. The person whose training program ends first is",months,2019-05-30,the 30th of May,2019-07-29,60 days,2 months,60,May,Aaron
Michael,2019-05-21,10 weeks,Maria,2019-05-14,3 months,Fred,2019-04-25,2 months,Michael is starting a volunteer program on the 21st of May and will be active for 10 weeks. Maria is starting a volunteer program on the 14th of May and will be active for 3 months. Fred is starting a volunteer program on the 25th of April and will be active for 2 months. The person whose volunteer program ends first is,months,2019-04-25,the 25th of April,2019-06-24,60 days,2 months,60,April,Fred
William,2019-04-23,7 days,Fred,2019-05-10,9 days,Jack,2019-05-03,6 days,William's trial period begins on the 23rd of April and lasts for 7 days. Fred's trial period begins on the 10th of May and lasts for 9 days. Jack's trial period begins on the 3rd of May and lasts for 6 days. The person whose trial period ends first is,days,2019-04-23,the 23rd of April,2019-04-30,7 days,7 days,7,April,William
Kevin,2019-05-03,4 weeks,Emily,2019-04-18,6 weeks,Luke,2019-05-10,10 weeks,Kevin is starting a volunteer program on the 3rd of May and will be active for 4 weeks. Emily is starting a volunteer program on the 18th of April and will be active for 6 weeks. Luke is starting a volunteer program on the 10th of May and will be active for 10 weeks. The person whose volunteer program ends first is,months,2019-04-18,the 18th of April,2019-05-30,42 days,6 weeks,42,April,Emily
Fred,2019-04-30,1 day,Ryan,2019-04-02,5 days,Peter,2019-05-31,9 days,Fred's guided hike begins on the 30th of April and lasts for 1 day. Ryan's guided hike begins on the 2nd of April and lasts for 5 days. Peter's guided hike begins on the 31st of May and lasts for 9 days. The person whose hike ends first is,days,2019-04-02,the 2nd of April,2019-04-07,5 days,5 days,5,April,Ryan
Jason,2019-05-09,1 week,Maria,2019-05-08,7 days,Ryan,2019-05-15,3 weeks,Jason's treatment begins on the 9th of May and is scheduled to last for 1 week. Maria's treatment begins on the 8th of May and is scheduled to last for 7 days. Ryan's treatment begins on the 15th of May and is scheduled to last for 3 weeks. The person whose treatment ends first is,weeks,2019-05-08,the 8th of May,2019-05-15,7 days,7 days,7,May,Maria
Maria,2019-05-29,10 days,Joy,2019-05-10,10 days,Hope,2019-04-11,21 days,Maria is starting a language course on the 29th of May and will last for 10 days. Joy is starting a language course on the 10th of May and will last for 10 days. Hope is starting a language course on the 11th of April and will last for 21 days. The person whose language course ends first is,weeks,2019-04-11,the 11th of April,2019-05-02,21 days,21 days,21,April,Hope
Alice,2019-05-06,1 year,Andrew,2019-04-26,2 years,Ryan,2019-05-10,36 months,Alice's probation period starts on the 6th of May and will complete it in 1 year. Andrew's probation period starts on the 26th of April and will complete it in 2 years. Ryan's probation period starts on the 10th of May and will complete it in 36 months. The person whose probation period ends first is,years,2019-05-06,the 6th of May,2020-05-05,365 days,1 year,365,May,Alice
Steve,2019-04-04,21 days,Michael,2019-04-12,25 days,Jason,2019-05-10,25 days,"Steve is beginning a sailing trip on the 4th of April, lasting roughly 21 days. Michael is beginning a sailing trip on the 12th of April, lasting roughly 25 days. Jason is beginning a sailing trip on the 10th of May, lasting roughly 25 days. The person whose sailing trip ends first is",weeks,2019-04-04,the 4th of April,2019-04-25,21 days,21 days,21,April,Steve
Hope,2019-04-23,4 weeks,Jack,2019-04-17,2 months,Max,2019-04-01,6 weeks,Hope's probation period starts on the 23rd of April and will complete it in 4 weeks. Jack's probation period starts on the 17th of April and will complete it in 2 months. Max's probation period starts on the 1st of April and will complete it in 6 weeks. The person whose probation period ends first is,months,2019-04-01,the 1st of April,2019-05-13,42 days,6 weeks,42,April,Max
Peter,2019-05-31,9 days,Alice,2019-04-30,5 days,Walker,2019-04-07,6 days,"Peter is beginning a short course on the 31st of May, running over 9 days. Alice is beginning a short course on the 30th of April, running over 5 days. Walker is beginning a short course on the 7th of April, running over 6 days. The person whose course ends first is",days,2019-04-07,the 7th of April,2019-04-13,6 days,6 days,6,April,Walker
Hope,2019-04-11,21 days,Aaron,2019-05-23,30 days,Ryan,2019-05-15,3 weeks,Hope is starting their internship on the 11th of April and is set to run for 21 days. Aaron is starting their internship on the 23rd of May and is set to run for 30 days. Ryan is starting their internship on the 15th of May and is set to run for 3 weeks. The person whose internship ends first is,weeks,2019-04-11,the 11th of April,2019-05-02,21 days,21 days,21,April,Hope
Fred,2019-05-02,21 days,Jason,2019-04-09,14 days,Maria,2019-05-08,7 days,Fred's intensive course starts on the 2nd of May and lasts for 21 days. Jason's intensive course starts on the 9th of April and lasts for 14 days. Maria's intensive course starts on the 8th of May and lasts for 7 days. The person whose intensive course ends first is,weeks,2019-04-09,the 9th of April,2019-04-23,14 days,14 days,14,April,Jason
Leon,2019-05-02,3 years,Max,2019-04-10,2 years,Alice,2019-05-06,1 year,Leon's residency begins on the 2nd of May and goes on for 3 years. Max's residency begins on the 10th of April and goes on for 2 years. Alice's residency begins on the 6th of May and goes on for 1 year. The person whose residency ends first is,years,2019-05-06,the 6th of May,2020-05-05,365 days,1 year,365,May,Alice
Laura,2019-05-03,1 year,Peter,2019-04-03,24 months,Frank,2019-05-09,12 months,"Laura starts a data science course on the 3rd of May, continuing for 1 year. Peter starts a data science course on the 3rd of April, continuing for 24 months. Frank starts a data science course on the 9th of May, continuing for 12 months. The person whose data science course ends first is",years,2019-05-03,the 3rd of May,2020-05-02,365 days,1 year,365,May,Laura
